Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|bb_time|c3_time|c3_time_overhead|get_rg_time|get_bb_time|get_c3_time|compress_time|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1171957|1166590|1.0046|0.38|6.936|18.2526|0|0.112|6.495|0.282|10|160|3|1|1
Bimbo_1|3670016|336294|265224|1.26796|0.046|1.76|38.2609|0|0.135|8.168|0.342|12|648|8|2|1
CityMaxCapita_1|26049426|11061780|10765493|1.02752|1.054|63.824|60.5541|0.015|0.491|70.913|0.946|31|2868|36|6|2
CMSprovider_1|16717728|3763797|3372832|1.11592|0.486|33.229|68.3724|0.019|0.659|103.592|1.27|26|1933|124|12|2
CommonGovernment_1|62829650|8219113|7137430|1.15155|1.037|95.939|92.5159|0.026|0.902|198.773|1.714|56|9715|362|24|1.84615
Corporations_1|11901857|5118447|3139354|1.63041|0.521|14.247|27.3455|0.04|1.07|212.54|1.944|27|1470|389|8|1.14286
Eixo_1|60077487|5924279|4684516|1.26465|1.29|150.977|117.036|0.047|1.447|362.389|2.574|71|18020|2995|42|2.47059
Euro2016_1|11418716|5896320|5348005|1.10253|0.431|6.718|15.587|0.066|1.576|368.64|2.839|10|268|60|4|2
Food_1|2758131|527155|527227|0.999863|0.114|2.097|18.3947|0.076|1.621|370.535|2.969|6|97|0|0|0
Generico_1|42738694|2813019|1902277|1.47876|0.46|26.896|58.4696|0.081|1.722|397.059|3.221|42|5868|201|14|1.55556
HashTags_1|92542033|34874598|24096011|1.44732|3.032|451.365|148.867|0.162|2.703|846.217|4.146|99|33034|424|28|2
Hatred_1|26027696|11576103|11456215|1.01046|1.03|57.911|56.2243|0.166|3.048|903.104|4.737|31|2680|48|6|3
IGlocations1_1|6321918|1800265|1788737|1.00644|0.254|18.83|74.1339|0.166|3.198|921.531|4.956|18|1509|3|2|1
Medicare1_1|12973420|4012198|3233288|1.2409|0.588|49.789|84.6752|0.168|3.446|970.671|5.291|26|1776|22|7|1.75
MedPayment1_1|16768400|4814195|4539558|1.0605|0.602|43.197|71.7558|0.174|3.68|1013.2|5.656|28|2271|77|8|2
MLB_1|18994088|2437229|2153808|1.13159|0.365|57.376|157.195|0.177|3.844|1070.15|5.91|48|8520|102|17|1.41667
Motos_1|42974217|2873598|1909968|1.50453|0.451|27.035|59.9446|0.182|3.947|1096.82|6.148|43|6154|191|15|1.875
MulheresMil_1|62416953|5983075|4699051|1.27325|1.54|154.8|100.519|0.19|4.339|1250.4|6.855|72|18552|3093|43|2.38889
NYC_1|36490617|3181870|1603479|1.98435|0.549|22.957|41.816|0.195|4.459|1272.99|7.068|48|5560|721|24|3.42857
PanCreactomy1_1|18360922|4160975|3709989|1.12156|0.608|41.95|68.9967|0.199|4.653|1314.33|7.435|29|2452|131|12|1.71429
Physicians_1|16768116|4817709|4543616|1.06032|0.595|41.305|69.4202|0.204|4.871|1354.98|7.805|28|2271|77|8|2
Provider_1|16202756|4704369|4471891|1.05199|0.598|44.34|74.1472|0.209|5.093|1398.7|8.141|28|2307|68|8|2
RealEstate1_1|17820728|4841783|4413753|1.09698|0.855|48.603|56.8456|0.211|5.403|1446.43|8.633|26|2053|63|10|2.5
Redfin1_1|22150976|9588473|9109299|1.0526|1.312|109.569|83.513|0.214|5.804|1554.79|9.328|42|5580|99|13|1.625
Rentabilidad_1|70851322|16384517|14357159|1.14121|3.009|714.321|237.395|0.233|6.761|2266.76|10.446|139|41668|968|41|3.15385
Romance_1|21518242|9896493|9896625|0.999987|0.902|16.967|18.8104|0.235|7.075|2282.81|10.943|11|332|0|0|0
SalariesFrance_1|48707783|11076238|9157788|1.20949|1.622|153.908|94.8878|0.242|7.472|2435.72|11.421|57|9390|651|40|4.44444
TableroSistemaPenal_1|23289522|802434|345520|2.3224|0.219|7.352|33.5708|0.245|7.51|2442.95|11.5|27|2252|162|14|2
Taxpayer_1|16195222|4714164|4471012|1.05438|0.621|44.265|71.2802|0.252|7.74|2486.54|11.874|28|2307|66|8|2.66667
Telco_1|92222061|24781554|22279483|1.1123|4.034|1589.17|393.944|0.263|8.92|4072.04|14.14|176|121979|2098|55|1.22222
TrainsUK1_2|22067864|3465279|2909567|1.19099|0.664|38.568|58.0843|0.267|9.122|4110.06|14.458|27|2036|104|11|1.22222
TrainsUK2_1|18144855|3154158|2537431|1.24305|0.661|43.27|65.4614|0.269|9.383|4152.59|14.867|29|2780|221|13|1.44444
Uberlandia_1|61320125|5970612|4765325|1.25293|1.332|150.671|113.116|0.278|9.766|4302.17|15.469|72|18303|3103|40|1.90476
USCensus_1|137735464|9708873|8853130|1.09666|0.854|1578.53|1848.39|0.581|10.311|5879.16|16.111|518|1585272|14392|148|1.92208
Wins_1|88869327|15143805|14010201|1.08091|2.366|1869.41|790.116|0.598|11.142|7746.14|17.572|254|296344|2202|72|1.89474
YaleLanguages_1|18012366|1536180|820632|1.87195|0.391|18.838|48.179|0.602|11.298|7764.67|17.701|28|2656|311|16|2.28571
Average compression_ratio_improvement: 1.24063
Average C3 time overhead: 151.002
Total ECRs computed: 2221085
Total BB time: 34.873
Total C3 time: 7796.92
