Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Arade_1|0|Dict_1to1|1|0|2_F2|1_F1|string|string|557506|458756|58459|11017|9.5367|41.6407|56892|18022|9.79937|25.4553|1.07827|Dict_1to1|1|0|9.799202|25.455332|9.799202|39.643623|0|6450|BP|-1|74|5|1402|1325|11216|10624|0.997741|308|308|0.961039|36|55|0.709091|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
Bimbo_1|0|Dict_1to1|3|11|4_Demanda_uni_equil|12_Venta_uni_hoy|integer|integer|262144|262144|49881|11246|5.25539|23.31|39868|39936|6.5753|6.5641|1.30554|Dict_1to1|3|11|6.575298|6.564103|5.730550|23.725586|-5877|28887|BP|-1|176|176|1202|1220|9616|9784|0.997547|716|716|0.983240|705|716|0.983240|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CityMaxCapita_1|0|Dict_1to1|12|14|13_Keyword|15_Language|string|string|646505|393571|26194|3807|24.6814|103.381|26260|19216|24.6194|20.4814|1.51582|Dict_1to1|12|14|24.619383|20.481422|24.619383|1741.464602|0|18990|BP|-1|15|21|0|440|0|3544|0.993228|72|72|0.833333|142|161|0.900621|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CityMaxCapita_1|0|Dict_1to1|13|16|14_LPF|17_Listed Number|double|integer|524288|262144|147689|187027|3.54995|1.40164|146265|42969|3.58451|6.10077|0.565357|Dict_1to1|13|16|3.584508|6.102048|3.584508|6.579094|0|3115|BP|-1|6538|613|1402|19792|11216|158360|0.999848|26164|26164|0.999541|2453|2464|0.995130|-1.000000|-1|-1|-1|-1|0|1|-1|-1|-1|-1|-1|9|
CityMaxCapita_1|0|Dict_1to1|22|2|23_State_Country|3_City|string|string|1142397|660352|192109|86504|5.94661|7.63377|209191|135033|5.46102|4.8903|1.23549|Dict_1to1|22|2|5.461363|4.892040|5.461363|7.646237|0|48622|-1|-1|5751|4536|0|0|16|-1|-1.000000|23016|23088|0.996362|63319|63338|0.999747|-1.000000|-1|-1|-1|-1|2|21554|-1|-1|-1|-1|-1|48|
CityMaxCapita_1|0|Dict_1to1|22|1|23_State_Country|2_City_State|string|string|1142397|806374|192109|116440|5.94661|6.92523|209191|161893|5.46102|4.98091|1.20267|Dict_1to1|22|1|5.461363|4.981892|5.461363|6.930053|0|45502|-1|-1|5751|5292|0|0|16|-1|-1.000000|23016|23044|0.998264|93315|93334|0.999829|-1.000000|-1|-1|-1|-1|2|23966|-1|-1|-1|-1|-1|32|
CityMaxCapita_1|0|Dict_1to1|22|23|23_State_Country|24_State|string|string|1142397|388154|192109|23446|5.94661|16.5552|209191|43423|5.46102|8.9389|1.17192|Dict_1to1|22|23|5.461363|8.947145|5.461363|16.626858|0|20038|BP|-1|5751|50|0|0|16|-1|-1.000000|23016|23056|0.997745|301|320|0.950000|-1.000000|-1|-1|-1|-1|2|2533|-1|-1|-1|-1|-1|40|
CityMaxCapita_1|0|Dict_1to1|26|17|27_Twitter Client|18_Long Domain|string|string|1410658|383796|22967|57048|61.4211|6.7276|50557|90898|27.9023|4.22227|1.76786|Dict_1to1|26|17|27.902328|4.641440|27.902328|9.395021|0|41838|-1|-1|46|1086|2404|3390|19232|27144|0.999116|196|235|0.782979|21411|21430|0.999253|-1.000000|-1|-1|-1|-1|0|55959|-1|-1|-1|-1|-1|8209|
CityMaxCapita_1|0|Dict_1to1|26|21|27_Twitter Client|22_Short Domain|string|string|1410658|372891|22967|51237|61.4211|7.27777|50557|84607|27.9023|4.40733|1.82152|Dict_1to1|26|21|27.902328|4.880900|27.902328|10.514635|0|40934|BP|-1|46|969|2404|3337|19232|26720|0.999102|196|235|0.782979|16024|16043|0.999003|-1.000000|-1|-1|-1|-1|0|55959|-1|-1|-1|-1|-1|8209|
CMSprovider_1|0|Dict_1to1|5|6|6_HCPCS_CODE|7_HCPCS_DESCRIPTION|string|string|589823|4087274|83299|98630|7.08079|41.4405|100977|174255|5.84116|23.4557|1.51285|Dict_1to1|5|6|5.841683|23.456917|5.841683|41.456447|0|75654|BP|-1|1521|1439|0|0|8|-1|-1.000000|6096|6096|0.998031|92476|92495|0.999827|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9|
