Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1165378|1.0045|10|12|1|1|1
Bimbo_1|3670016|319324|300889|1.06127|12|122|3|1|1
CityMaxCapita_1|26049426|11018728|10769778|1.02312|31|367|35|6|2
CMSprovider_1|16717728|3729276|3446037|1.08219|26|323|55|7|1.4
CommonGovernment_1|62829650|8193179|7237829|1.13199|56|2028|111|21|2.33333
Corporations_1|11901857|5105751|3092721|1.65089|27|240|53|10|5
Eixo_1|60077487|5892367|4680698|1.25887|71|4160|668|36|2.76923
Euro2016_1|11418716|5779460|5244416|1.10202|10|30|11|2|2
Food_1|2758131|515805|515949|0.999721|6|20|0|0|0
Generico_1|42738694|2805958|2131272|1.31656|42|1722|94|16|1.77778
HashTags_1|92542033|34753667|34599556|1.00445|99|4979|91|4|1.33333
Hatred_1|26027696|11533096|11354399|1.01574|31|317|30|5|1.66667
IGlocations1_1|6321918|1779851|1780285|0.999756|18|56|0|0|0
Medicare1_1|12973420|3996314|3726810|1.07231|26|226|6|4|2
MedPayment1_1|16768400|4681724|4545967|1.02986|28|292|23|4|1.33333
MLB_1|18994088|2380651|2334169|1.01991|48|2225|2|2|2
Motos_1|42974217|2829428|2163601|1.30774|43|1806|96|16|1.6
MulheresMil_1|62416953|5964864|4693193|1.27096|72|4290|684|35|2.91667
NYC_1|36490617|3139541|1815352|1.72944|48|1482|142|21|3.5
PanCreactomy1_1|18360922|4037727|3718909|1.08573|29|420|52|7|1.16667
Physicians_1|16768116|4686462|4547521|1.03055|28|292|23|4|1.33333
Provider_1|16202756|4588180|4549536|1.00849|28|306|18|3|1.5
RealEstate1_1|17820728|4838606|4552453|1.06286|26|379|17|5|1.66667
Redfin1_1|22150976|9242876|9126983|1.0127|42|258|3|3|3
Rentabilidad_1|70851322|16198993|15511696|1.04431|139|6848|170|22|2.44444
Romance_1|21518242|9890137|9890401|0.999973|11|2|0|0|0
SalariesFrance_1|48707783|9310155|8808700|1.05693|57|935|52|8|2
TableroSistemaPenal_1|23289522|802109|296734|2.70312|27|702|38|12|3
Taxpayer_1|16195222|4592886|4555243|1.00826|28|306|18|3|1.5
Telco_1|92222061|23897338|23391589|1.02162|176|10178|33|12|1
TrainsUK1_2|22067864|3440367|2932349|1.17325|27|552|16|8|1.6
TrainsUK2_1|18144855|3140981|2580979|1.21697|29|702|46|10|1.42857
Uberlandia_1|61320125|5959002|4693008|1.26976|72|4290|693|37|2.64286
USCensus_1|137735464|8738400|8426828|1.03697|518|92702|30|16|1.77778
Wins_1|88869327|14701699|14297793|1.02825|254|34686|98|11|1.22222
YaleLanguages_1|18012366|1520217|938614|1.61964|28|650|65|14|2.8
Average compression_ratio_improvement: 1.17946
Total ECRs computed: 178905
