Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Arade_1|0|Dict_1toN|0|1|1_F1|2_F2|string|string|458756|557506|19056|50991|24.0741|10.9334|18022|56892|25.4553|9.79937|1.06948|Dict_1toN|0|1|25.455332|9.799202|25.455332|12.466871|0|12173|BP|-1|5|74|-1|-1|-1|-1|-1.000000|2493|733|0.978172|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|42184|50204|24|36|-1|-1|
Bimbo_1|0|Dict_1toN|6|4|7_Number of Records|5_Dev_proxima|integer|double|262144|524288|2101|26326|124.771|19.9152|4|15589|65536|33.6319|0.548528|Dict_1toN|6|4|65536.000000|33.629763|126.700822|80.141853|-2065|9047|BP|-1|1|354|-1|-1|-1|-1|-1.000000|2832|2844|0.995781|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|3684|23444|8|20|-1|-1|
Bimbo_1|0|Dict_1toN|9|7|10_Semana|8_Producto_ID|integer|integer|262144|262144|8209|51254|31.9337|5.11461|254|68525|1032.06|3.82552|1.15667|Dict_1toN|9|7|1032.062992|3.825524|32.058701|5.798363|-7923|23315|BP|-1|4|242|-1|-1|-1|-1|-1.000000|5608|1376|0.991279|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|39564|49828|20|32|-1|-1|
Bimbo_1|0|Dict_1toN|11|10|12_Venta_uni_hoy|11_Venta_hoy|integer|double|262144|524288|50093|73202|5.23315|7.16221|39936|104724|6.5641|5.00638|1.17328|Dict_1toN|11|10|6.564103|5.006331|5.722044|7.818892|-5877|37670|-1|-1|176|2113|-1|-1|-1|-1|-1.000000|27624|19708|0.999391|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|38704|52756|708|720|-1|-1|
Bimbo_1|0|Dict_1toN|11|3|12_Venta_uni_hoy|4_Demanda_uni_equil|integer|integer|262144|262144|50093|9238|5.23315|28.3767|39936|39868|6.5641|6.5753|1.34506|Dict_1toN|11|3|6.564103|6.575298|5.722044|41.729386|-5877|33586|BP|-1|176|176|-1|-1|-1|-1|-1.000000|3104|1284|0.990654|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|2452|7216|708|720|-1|-1|
CityMaxCapita_1|0|Dict_1toN|0|26|1_City_Admin|27_Twitter Client|string|string|545836|1410658|7663|24356|71.2301|57.9183|15845|50557|34.4485|27.9023|2.07383|Dict_1toN|0|26|34.476756|27.902328|34.476756|77.005186|0|32238|BP|-1|2|46|-1|-1|-1|-1|-1.000000|5545|1330|0.987970|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2|0|12744|22984|12|24|-1|-1|
CityMaxCapita_1|0|Dict_1toN|2|1|3_City|2_City_State|string|string|660352|806374|128859|122424|5.12461|6.58673|135033|161893|4.8903|4.98091|1.18164|Dict_1toN|2|1|4.892040|4.981892|4.892040|7.070479|0|47813|BP|-1|4536|5292|-1|-1|-1|-1|-1.000000|93314|93334|0.999829|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|21554|23966|2568|10912|18148|18160|-1|-1|
CityMaxCapita_1|0|Dict_1toN|14|13|15_Language|14_LPF|string|double|393571|524288|3246|149938|121.248|3.4967|19216|146265|20.4814|3.58451|1.08028|Dict_1toN|14|13|20.481422|3.584508|20.481422|4.379651|0|26555|BP|-1|21|6538|-1|-1|-1|-1|-1.000000|53584|54508|0.999780|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|66020|95312|88|100|-1|-1|
CityMaxCapita_1|0|Dict_1toN|19|5|20_Number of Records|6_FF Ratio|integer|double|262144|524288|2101|62298|124.771|8.41581|4|57057|65536|9.18885|0.886054|Dict_1toN|19|5|65536.000000|9.188846|126.700822|12.260605|-2065|14295|BP|-1|1|552|-1|-1|-1|-1|-1.000000|4416|4428|0.997290|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|38320|57832|8|20|-1|-1|
CityMaxCapita_1|0|Dict_1toN|21|17|22_Short Domain|18_Long Domain|string|string|372891|383796|66421|37013|5.61405|10.3692|84607|90898|4.40733|4.22227|1.69678|Dict_1toN|21|17|4.880900|4.641440|4.880900|14.013290|0|55301|BP|-1|969|1086|-1|-1|-1|-1|-1.000000|21410|21430|0.999253|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|55959|55959|2080|11673|3880|3892|-1|-1|
CityMaxCapita_1|0|Dict_1toN|23|22|24_State|23_State_Country|string|string|388154|1142397|33945|152706|11.4348|7.48102|43423|209191|8.9389|5.46102|1.3534|Dict_1toN|23|22|8.947145|5.461363|8.947145|8.533693|0|75309|BP|-1|50|5751|-1|-1|-1|-1|-1.000000|104143|104163|0.999846|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|2|29504|48309|204|216|-1|-1|
