Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1157910|1.01098|10|12|2|1|1
Bimbo_1|3670016|319324|262270|1.21754|12|132|11|2|1
CityMaxCapita_1|26049426|11018728|10766986|1.02338|31|380|80|6|1.5
CMSprovider_1|16717728|3729276|3363206|1.10885|26|342|120|9|1.125
CommonGovernment_1|62829650|8193179|7189955|1.13953|56|2070|518|23|1.91667
Corporations_1|11901857|5105751|3074172|1.66085|27|240|161|10|5
Eixo_1|60077487|5892367|4712230|1.25044|71|4160|2167|35|1.84211
Euro2016_1|11418716|5779460|5240090|1.10293|10|30|15|2|1
Food_1|2758131|515805|515949|0.999721|6|20|0|0|0
Generico_1|42738694|2805958|2137431|1.31277|42|1722|289|16|2
HashTags_1|92542033|34753667|34356765|1.01155|99|5402|735|10|1.42857
Hatred_1|26027696|11533096|11356591|1.01554|31|342|58|4|1.33333
IGlocations1_1|6321918|1779851|1773271|1.00371|18|56|5|1|1
Medicare1_1|12973420|3996314|3796272|1.05269|26|240|29|5|1.25
MedPayment1_1|16768400|4681724|4518326|1.03616|28|306|67|6|1.5
MLB_1|18994088|2380651|2209729|1.07735|48|2256|35|6|2
Motos_1|42974217|2829428|2102271|1.34589|43|1806|310|17|2.125
MulheresMil_1|62416953|5964864|4771832|1.25002|72|4290|2183|35|1.94444
NYC_1|36490617|3139541|1715702|1.82989|48|1482|574|23|2.09091
PanCreactomy1_1|18360922|4037727|3674898|1.09873|29|462|127|11|1.375
Physicians_1|16768116|4686462|4523420|1.03604|28|306|68|6|1.5
Provider_1|16202756|4588180|4479669|1.02422|28|306|55|6|1.2
RealEstate1_1|17820728|4838606|4504909|1.07407|26|420|84|8|1.14286
Redfin1_1|22150976|9242876|9128431|1.01254|42|306|24|5|1.66667
Rentabilidad_1|70851322|16198992|15429150|1.0499|139|6924|1117|26|2
Romance_1|21518242|9890137|9890401|0.999973|11|2|0|0|0
SalariesFrance_1|48707783|9310155|8559121|1.08775|57|992|182|13|1.85714
TableroSistemaPenal_1|23289522|802109|326341|2.45789|27|702|95|12|1.5
Taxpayer_1|16195222|4592886|4489175|1.0231|28|306|55|6|1.2
Telco_1|92222061|23897338|23350746|1.02341|176|10932|167|43|2.52941
TrainsUK1_2|22067864|3440367|2953542|1.16483|27|552|61|12|1.5
TrainsUK2_1|18144855|3140981|2495502|1.25866|29|702|202|13|1.625
Uberlandia_1|61320125|5959002|4783211|1.24582|72|4290|2214|35|1.84211
USCensus_1|137735464|8738400|8173027|1.06918|518|92702|3808|42|1.82609
Wins_1|88869327|14701699|13936100|1.05494|254|34686|1583|54|1.45946
YaleLanguages_1|18012366|1520217|788876|1.92707|28|650|337|15|2.14286
Average compression_ratio_improvement: 1.19605
Total ECRs computed: 180528
