Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1165949|1.00401|12|2|1
Bimbo_1|0|3670016|319324|270967|1.17846|132|12|4
CityMaxCapita_1|0|26049426|11018728|10782787|1.02188|380|88|8
CMSprovider_1|0|16717728|3729276|3376939|1.10434|342|122|11
CommonGovernment_1|0|62829650|8193179|7223961|1.13417|2070|433|23
Corporations_1|0|11901857|5105751|3075012|1.6604|240|146|10
Eixo_1|0|60077487|5892367|4749449|1.24064|4160|2105|33
Euro2016_1|0|11418716|5779460|5241795|1.10257|30|20|4
Food_1|0|2758131|515805|523415|0.985461|20|1|1
Generico_1|0|42738694|2805958|2099958|1.3362|1722|316|18
HashTags_1|0|92542033|34753667|34347064|1.01184|5402|764|12
Hatred_1|0|26027696|11533096|11374126|1.01398|342|64|7
IGlocations1_1|0|6321918|1779851|1773271|1.00371|56|5|1
Medicare1_1|0|12973420|3996314|3798496|1.05208|240|33|5
MedPayment1_1|0|16768400|4681724|4531161|1.03323|306|65|6
MLB_1|0|18994088|2380651|2229850|1.06763|2256|210|25
Motos_1|0|42974217|2829428|2120262|1.33447|1806|345|18
MulheresMil_1|0|62416953|5964864|4783814|1.24688|4290|2105|34
NYC_1|0|36490617|3139541|1735445|1.80907|1482|565|23
PanCreactomy1_1|0|18360922|4037727|3696674|1.09226|462|145|13
Physicians_1|0|16768116|4686462|4536675|1.03302|306|65|6
Provider_1|0|16202756|4588180|4486748|1.02261|306|54|6
RealEstate1_1|0|17820728|4838606|4512372|1.0723|420|94|8
Redfin1_1|0|22150976|9242876|9146412|1.01055|306|27|7
Rentabilidad_1|0|70851322|16198993|15478589|1.04654|6924|1097|25
Romance_1|0|21518242|9890137|9890401|0.999973|2|0|0
SalariesFrance_1|0|48707783|9310155|8550198|1.08888|992|169|18
TableroSistemaPenal_1|0|23289522|802109|377855|2.1228|702|111|11
Taxpayer_1|0|16195222|4592886|4496127|1.02152|306|58|6
Telco_1|0|92222061|23897338|23612601|1.01206|10932|1004|90
TrainsUK1_2|0|22067864|3440367|3037998|1.13245|552|73|12
TrainsUK2_1|0|18144855|3140981|2510660|1.25106|702|210|14
Uberlandia_1|0|61320125|5959002|4789783|1.24411|4290|2152|35
USCensus_1|0|137735464|8738400|8259930|1.05793|92702|6064|52
Wins_1|0|88869327|14701698|14166125|1.03781|34686|3784|123
YaleLanguages_1|0|18012366|1520217|804667|1.88925|650|325|16
