Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1170865|0.999794|10|6|0|0|0
Bimbo_1|3670016|319324|297975|1.07165|12|101|2|1|1
CityMaxCapita_1|26049426|11018728|11019472|0.999932|31|128|0|0|0
CMSprovider_1|16717728|3729276|3724121|1.00138|26|82|2|1|1
CommonGovernment_1|62829650|8193179|8057582|1.01683|56|397|9|3|1
Corporations_1|11901857|5105751|5106394|0.999874|27|92|0|0|0
Eixo_1|60077487|5892367|5420291|1.08709|71|769|70|9|1.5
Euro2016_1|11418716|5779460|5779701|0.999958|10|11|0|0|0
Food_1|2758131|515805|515949|0.999721|6|12|0|0|0
Generico_1|42738694|2805958|2672951|1.04976|42|574|16|3|1.5
HashTags_1|92542033|34753667|34728926|1.00071|99|2667|1|1|1
Hatred_1|26027696|11533096|11533840|0.999935|31|130|0|0|0
IGlocations1_1|6321918|1779851|1780285|0.999756|18|114|0|0|0
Medicare1_1|12973420|3996314|3994764|1.00039|26|143|1|1|1
MedPayment1_1|16768400|4681724|4689854|0.998266|28|82|1|1|1
MLB_1|18994088|2380651|2256246|1.05514|48|1288|85|8|1.14286
Motos_1|42974217|2829428|2695441|1.04971|43|588|16|3|1.5
MulheresMil_1|62416953|5964864|5491587|1.08618|72|781|72|9|1.5
NYC_1|36490617|3139541|2827300|1.11044|48|153|40|3|1.5
PanCreactomy1_1|18360922|4037727|4034470|1.00081|29|92|2|1|1
Physicians_1|16768116|4686462|4694424|0.998304|28|82|1|1|1
Provider_1|16202756|4588180|4548410|1.00874|28|121|30|3|1
RealEstate1_1|17820728|4838606|4741698|1.02044|26|85|1|1|1
Redfin1_1|22150976|9242876|9191227|1.00562|42|79|3|1|1
Rentabilidad_1|70851322|16198993|16146118|1.00327|139|1188|27|3|1
Romance_1|21518242|9890585|9866319|1.00246|11|5|2|1|1
SalariesFrance_1|48707783|9310155|9312130|0.999788|57|174|1|1|1
TableroSistemaPenal_1|23289522|802109|746339|1.07472|27|104|4|1|1
Taxpayer_1|16195222|4592886|4556253|1.00804|28|121|30|3|1
Telco_1|92222061|23897338|23901572|0.999823|176|94|0|0|0
TrainsUK1_2|22067864|3440367|3441019|0.999811|27|92|0|0|0
TrainsUK2_1|18144855|3140981|2897231|1.08413|29|338|49|5|1
Uberlandia_1|61320125|5959002|5332911|1.1174|72|976|98|11|1.375
USCensus_1|137735464|8738400|8333741|1.04856|518|91912|1071|31|1.72222
Wins_1|88869327|14701699|14235059|1.03278|254|29729|1500|43|1.3871
YaleLanguages_1|18012366|1520217|1276396|1.19102|28|202|27|4|1.33333
Average compression_ratio_improvement: 1.03117
Total ECRs computed: 133512
