Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1170865|0.999794|6|0|0
Bimbo_1|0|3670016|319324|297975|1.07165|101|1|1
CityMaxCapita_1|0|26049426|11018728|11019472|0.999932|128|0|0
CMSprovider_1|0|16717728|3729276|3724121|1.00138|82|1|1
CommonGovernment_1|0|62829650|8193179|8057582|1.01683|397|9|3
Corporations_1|0|11901857|5105938|5106394|0.999911|92|0|0
Eixo_1|0|60077487|5892367|5420291|1.08709|769|69|9
Euro2016_1|0|11418716|5779460|5779701|0.999958|11|0|0
Food_1|0|2758131|515805|515949|0.999721|12|0|0
Generico_1|0|42738694|2805958|2672951|1.04976|574|15|3
HashTags_1|0|92542033|34753667|34728926|1.00071|2667|1|1
Hatred_1|0|26027696|11533096|11533840|0.999935|130|0|0
IGlocations1_1|0|6321918|1779851|1780285|0.999756|114|0|0
Medicare1_1|0|12973420|3996314|3994764|1.00039|143|1|1
MedPayment1_1|0|16768400|4681724|4682397|0.999856|82|0|0
MLB_1|0|18994088|2380651|2261586|1.05265|1288|48|6
Motos_1|0|42974217|2829428|2695441|1.04971|588|15|3
MulheresMil_1|0|62416953|5964864|5491587|1.08618|781|71|9
NYC_1|0|36490617|3139541|2827300|1.11044|153|40|3
PanCreactomy1_1|0|18360922|4037727|4034470|1.00081|92|1|1
Physicians_1|0|16768116|4686462|4687139|0.999856|82|0|0
Provider_1|0|16202756|4588180|4557896|1.00664|121|3|2
RealEstate1_1|0|17820728|4838606|4741698|1.02044|85|1|1
Redfin1_1|0|22150976|9242876|9191227|1.00562|79|3|1
Rentabilidad_1|0|70851322|16199052|16146118|1.00328|1188|27|3
Romance_1|0|21518242|9890585|9866319|1.00246|5|2|1
SalariesFrance_1|0|48707783|9310155|9311526|0.999853|174|0|0
TableroSistemaPenal_1|0|23289522|802109|746339|1.07472|104|4|1
Taxpayer_1|0|16195222|4592886|4565819|1.00593|121|3|2
Telco_1|0|92222061|23897338|23901572|0.999823|94|0|0
TrainsUK1_2|0|22067864|3440367|3441019|0.999811|92|0|0
TrainsUK2_1|0|18144855|3140981|2897231|1.08413|338|27|5
Uberlandia_1|0|61320125|5959001|5332911|1.1174|976|93|11
USCensus_1|0|137735464|8738400|8323007|1.04991|91912|934|29
Wins_1|0|88869327|14701698|14241348|1.03232|29729|1371|37
YaleLanguages_1|0|18012366|1520217|1276396|1.19102|202|20|4
