Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1170865|0.999794|10|4|0|0|0
Bimbo_1|3670016|319324|345032|0.925491|12|92|5|3|1
CityMaxCapita_1|26049426|11018728|11078415|0.994612|31|204|36|5|1
CMSprovider_1|16717728|3729276|3698959|1.0082|26|202|44|7|1
CommonGovernment_1|62829650|8193179|8073025|1.01488|56|1208|78|8|1
Corporations_1|11901857|5105751|3271885|1.56049|27|144|90|5|1
Eixo_1|60077487|5892367|5678574|1.03765|71|2972|166|10|1
Euro2016_1|11418716|5779460|5255074|1.09979|10|20|8|2|1
Food_1|2758131|515805|518037|0.995691|6|8|2|1|1
Generico_1|42738694|2805958|2513947|1.11616|42|834|33|4|1
HashTags_1|92542033|34753667|33901222|1.02514|99|2572|174|6|1
Hatred_1|26027696|11533096|11697877|0.985914|31|154|15|3|1
IGlocations1_1|6321918|1779851|1826426|0.974499|18|212|1|1|1
Medicare1_1|12973420|3996314|4031609|0.991245|26|128|30|6|1
MedPayment1_1|16768400|4681724|4691529|0.99791|28|260|38|5|1
MLB_1|18994088|2380651|2391618|0.995414|48|968|291|17|1
Motos_1|42974217|2829428|2532893|1.11707|43|886|31|4|1
MulheresMil_1|62416953|5964864|5723848|1.04211|72|3080|168|10|1
NYC_1|36490617|3139541|2182282|1.43865|48|1130|180|7|1
PanCreactomy1_1|18360922|4037727|3983665|1.01357|29|292|73|9|1
Physicians_1|16768116|4686462|4696080|0.997952|28|260|38|5|1
Provider_1|16202756|4588180|4617944|0.993555|28|252|30|4|1
RealEstate1_1|17820728|4838606|4815151|1.00487|26|204|54|6|1
Redfin1_1|22150976|9242876|9131151|1.01224|42|170|42|6|1
Rentabilidad_1|70851322|16198992|16153966|1.00279|139|2576|108|6|1
Romance_1|21518242|9890137|9891298|0.999883|11|4|0|0|0
SalariesFrance_1|48707783|9310155|9249289|1.00658|57|480|29|5|1
TableroSistemaPenal_1|23289522|802109|808049|0.992649|27|366|4|1|1
Taxpayer_1|16195222|4592886|4619453|0.994249|28|252|32|5|1
Telco_1|92222061|23897338|23375005|1.02235|176|15972|11456|62|1
TrainsUK1_2|22067864|3440367|3361992|1.02331|27|194|58|7|1
TrainsUK2_1|18144855|3140981|3086601|1.01762|29|272|40|7|1
Uberlandia_1|61320125|5959002|5729029|1.04014|72|2834|172|12|1
USCensus_1|137735464|8738400|9110989|0.959106|518|90386|9521|80|1
Wins_1|88869327|14701699|14730814|0.998024|254|26304|2500|57|1
YaleLanguages_1|18012366|1520217|1449377|1.04888|28|410|9|5|1
Average compression_ratio_improvement: 1.04024
Total ECRs computed: 156306
