Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1170865|0.999794|4|0|0
Bimbo_1|0|3670016|319324|345028|0.925502|92|11|3
CityMaxCapita_1|0|26049426|11018728|10920850|1.00896|204|29|4
CMSprovider_1|0|16717728|3729276|3714754|1.00391|202|26|5
CommonGovernment_1|0|62829650|8193179|8052680|1.01745|1208|116|9
Corporations_1|0|11901857|5105751|3273949|1.55951|144|82|6
Eixo_1|0|60077487|5892367|5602962|1.05165|2972|236|15
Euro2016_1|0|11418716|5779460|5261241|1.0985|20|8|2
Food_1|0|2758131|515805|518037|0.995691|8|3|1
Generico_1|0|42738694|2805958|2507509|1.11902|834|139|8
HashTags_1|0|92542033|34753667|33900719|1.02516|2572|196|9
Hatred_1|0|26027696|11533096|11564686|0.997268|154|7|4
IGlocations1_1|0|6321918|1779851|1780285|0.999756|212|0|0
Medicare1_1|0|12973420|3996314|3956311|1.01011|128|38|6
MedPayment1_1|0|16768400|4681724|4637347|1.00957|260|54|5
MLB_1|0|18994088|2380651|2407820|0.988716|968|429|21
Motos_1|0|42974217|2829428|2533903|1.11663|886|143|8
MulheresMil_1|0|62416953|5964864|5680624|1.05004|3080|236|15
NYC_1|0|36490617|3139541|2180164|1.44005|1130|107|7
PanCreactomy1_1|0|18360922|4037727|4008250|1.00735|292|61|6
Physicians_1|0|16768116|4686462|4642081|1.00956|260|54|5
Provider_1|0|16202756|4588180|4602586|0.99687|252|54|5
RealEstate1_1|0|17820728|4838606|4809674|1.00602|204|60|7
Redfin1_1|0|22150976|9242876|9131151|1.01224|170|43|6
Rentabilidad_1|0|70851322|16198992|16135304|1.00395|2576|84|7
Romance_1|0|21518242|9890585|9890401|1.00002|4|0|0
SalariesFrance_1|0|48707783|9310155|9249289|1.00658|480|28|5
TableroSistemaPenal_1|0|23289522|802109|808049|0.992649|366|4|1
Taxpayer_1|0|16195222|4592886|4606450|0.997055|252|54|5
Telco_1|0|92222061|23897338|23217053|1.0293|15972|12227|67
TrainsUK1_2|0|22067864|3440367|3367641|1.0216|194|57|7
TrainsUK2_1|0|18144855|3140981|3038811|1.03362|272|77|10
Uberlandia_1|0|61320125|5959002|5631201|1.05821|2834|245|17
USCensus_1|0|137735464|8738400|9216042|0.948173|90386|16743|105
Wins_1|0|88869327|14701698|14917598|0.985527|26304|10252|101
YaleLanguages_1|0|18012366|1520217|1449382|1.04887|410|14|5
