Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Bimbo_1|0|Dict_Sharing|6|3|7_Number of Records|4_Demanda_uni_equil|integer|integer|262144|262144|2801|45060|93.5894|5.81767|4|39868|65536|6.5753|0.833079|Dict_Sharing|6|3|65536.000000|6.575298|94.671000|8.023506|-2765|7196|-1|-1|1|176|-1|-1|-1|-1|-1.000000|704|716|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|32672|45048|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|1|22|2_City_State|23_State_Country|string|string|806374|1142397|167289|101961|4.82025|11.2043|161893|209191|4.98091|5.46102|1.37821|Dict_Sharing|1|22|4.981892|5.461363|4.669489|11.649029|-10829|111110|-1|-1|5292|5751|-1|-1|-1|-1|-1.000000|104147|104172|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|23966|2|98068|101949|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|5|13|6_FF Ratio|14_LPF|double|double|524288|524288|111849|97832|4.68746|5.35906|57057|146265|9.18885|3.58451|0.969673|Dict_Sharing|5|13|9.188846|3.584508|4.916752|5.884265|-49576|57165|-1|-1|552|6538|-1|-1|-1|-1|-1.000000|53992|54004|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|89100|97820|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|11|16|12_Influencer?|17_Listed Number|integer|integer|262144|262144|12637|42957|20.7442|6.10247|5856|42969|44.765|6.10077|0.878242|Dict_Sharing|11|16|44.765027|6.102048|27.908442|8.282067|-3537|11308|-1|-1|2|613|-1|-1|-1|-1|-1.000000|2452|2464|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|1|31652|42945|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|23|28|24_State|29_User Loc|string|string|388154|795139|301664|124373|1.28671|6.39318|43423|392334|8.9389|2.02669|1.02281|Dict_Sharing|23|28|8.947145|2.070001|1.388213|7.337126|-236224|275753|-1|-1|50|14506|-1|-1|-1|-1|-1.000000|236528|268039|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|25096|108372|124361|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|7|9|8_HCPCS_DRUG_INDICATOR|10_MEDICARE_PARTICIPATION_INDICATOR|string|string|327683|327683|2129|9797|153.914|33.4473|10301|18010|31.8108|18.1945|2.37389|Dict_Sharing|7|9|31.838613|18.203600|31.823152|33.629208|-5|8257|-1|-1|1|2|-1|-1|-1|-1|-1.000000|14|35|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|9744|9785|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|14|16|15_NPPES_PROVIDER_COUNTRY|17_NPPES_PROVIDER_STATE|string|string|393218|393218|2523|25553|155.853|15.3883|34926|33512|11.2586|11.7336|2.4376|Dict_Sharing|14|16|11.261506|11.736800|11.159869|15.451823|-318|8055|-1|-1|9|58|-1|-1|-1|-1|-1.000000|376|401|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|25448|25541|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|20|10|21_Number of Records|11_NPI|integer|integer|262144|262144|60821|116772|4.31009|2.24492|4|175477|65536|1.49389|0.988108|Dict_Sharing|20|10|65536.000000|1.493894|4.809893|2.357071|-54497|64261|-1|-1|1|14681|-1|-1|-1|-1|-1.000000|52436|58736|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|111216|116760|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|21|17|22_PLACE_OF_SERVICE|18_NPPES_PROVIDER_STREET1|string|string|327683|1417689|163644|108581|2.00241|13.0565|10822|269587|30.2793|5.25874|1.03006|Dict_Sharing|21|17|30.304541|5.258919|2.115094|13.286682|-144113|162878|-1|-1|2|7285|-1|-1|-1|-1|-1.000000|144127|161034|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|106700|108569|-1|-1|-1|-1|
CommonGovernment_1|0|Dict_Sharing|4|16|5_agency_code|17_code|string|string|393220|393220|25129|24264|15.6481|16.2059|40921|41423|9.60925|9.49279|1.66712|Dict_Sharing|4|16|9.609247|9.492794|9.602208|16.749872|-30|17947|-1|-1|39|44|-1|-1|-1|-1|-1.000000|268|284|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|23476|24252|-1|-1|-1|-1|
