Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1170865|0.999794|10|16|0|0|0
Bimbo_1|3670016|319324|290651|1.09865|12|83|2|1|1
CityMaxCapita_1|26049426|11018728|10826399|1.01776|31|272|3|2|1
CMSprovider_1|16717728|3729276|3729900|0.999833|26|214|0|0|0
CommonGovernment_1|62829650|8193179|7588051|1.07975|56|1262|10|5|1.25
Corporations_1|11901857|5105751|3536147|1.44387|27|194|126|6|1.2
Eixo_1|60077487|5892367|5615957|1.04922|71|3269|200|10|1
Euro2016_1|11418716|5779460|5259087|1.09895|10|28|10|2|2
Food_1|2758131|515805|515949|0.999721|6|8|0|0|0
Generico_1|42738694|2805958|2459690|1.14078|42|834|6|2|1
HashTags_1|92542033|34753667|24130335|1.44025|99|3135|28|13|1.08333
Hatred_1|26027696|11533096|11456880|1.00665|31|229|4|2|1
IGlocations1_1|6321918|1779851|1780285|0.999756|18|160|0|0|0
Medicare1_1|12973420|3996314|3522112|1.13464|26|149|2|1|1
MedPayment1_1|16768400|4681724|4682397|0.999856|28|251|0|0|0
MLB_1|18994088|2380651|2381805|0.999515|48|963|0|0|0
Motos_1|42974217|2829428|2482024|1.13997|43|886|6|2|1
MulheresMil_1|62416953|5964864|5647212|1.05625|72|3382|203|13|1.625
NYC_1|36490617|3139541|2142076|1.46565|48|1133|104|5|1
PanCreactomy1_1|18360922|4037727|4038425|0.999827|29|289|0|0|0
Physicians_1|16768116|4686462|4687139|0.999856|28|251|0|0|0
Provider_1|16202756|4588180|4588855|0.999853|28|236|0|0|0
RealEstate1_1|17820728|4838606|4839231|0.999871|26|230|0|0|0
Redfin1_1|22150976|9242876|9243886|0.999891|42|583|0|0|0
Rentabilidad_1|70851322|16198993|15527785|1.04323|139|4011|12|5|1.25
Romance_1|21518242|9890585|9890849|0.999973|11|22|0|0|0
SalariesFrance_1|48707783|9310155|9170922|1.01518|57|993|2|1|1
TableroSistemaPenal_1|23289522|802109|719851|1.11427|27|366|4|2|1
Taxpayer_1|16195222|4592886|4593558|0.999854|28|237|0|0|0
Telco_1|92222061|23897338|23613028|1.01204|176|17601|4|3|1
TrainsUK1_2|22067864|3440367|3385943|1.01607|27|227|2|1|1
TrainsUK2_1|18144855|3140981|2916731|1.07688|29|296|6|3|1
Uberlandia_1|61320125|5959002|5520832|1.07937|72|3124|204|16|1.6
USCensus_1|137735464|8738400|8391326|1.04136|518|90774|15|8|1.14286
Wins_1|88869327|14701699|14428233|1.01895|254|26335|6|3|1
YaleLanguages_1|18012366|1520217|1296491|1.17256|28|424|7|4|1
Average compression_ratio_improvement: 1.07666
Total ECRs computed: 162467
