Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1170865|0.999794|16|0|0
Bimbo_1|0|3670016|319324|290651|1.09865|83|2|1
CityMaxCapita_1|0|26049426|11018728|10826399|1.01776|272|3|2
CMSprovider_1|0|16717728|3729276|3729900|0.999833|214|0|0
CommonGovernment_1|0|62829650|8193179|7588051|1.07975|1262|10|5
Corporations_1|0|11901857|5105935|3632350|1.40568|194|126|7
Eixo_1|0|60077487|5892367|5597955|1.05259|3269|200|12
Euro2016_1|0|11418716|5779460|5259087|1.09895|28|10|2
Food_1|0|2758131|515805|515949|0.999721|8|0|0
Generico_1|0|42738694|2805958|2462747|1.13936|834|2|1
HashTags_1|0|92542033|34753667|24130335|1.44025|3135|28|13
Hatred_1|0|26027696|11533096|11456880|1.00665|229|4|2
IGlocations1_1|0|6321918|1779851|1780285|0.999756|160|0|0
Medicare1_1|0|12973420|3996314|3522112|1.13464|149|2|1
MedPayment1_1|0|16768400|4681724|4682397|0.999856|251|0|0
MLB_1|0|18994088|2380651|2381805|0.999515|963|0|0
Motos_1|0|42974217|2829428|2485061|1.13857|886|2|1
MulheresMil_1|0|62416953|5964864|5648468|1.05601|3382|176|13
NYC_1|0|36490617|3139541|2142076|1.46565|1133|104|5
PanCreactomy1_1|0|18360922|4037727|4038425|0.999827|289|0|0
Physicians_1|0|16768116|4686462|4687139|0.999856|251|0|0
Provider_1|0|16202756|4588180|4588855|0.999853|236|0|0
RealEstate1_1|0|17820728|4838606|4839231|0.999871|230|0|0
Redfin1_1|0|22150976|9242876|9243886|0.999891|583|0|0
Rentabilidad_1|0|70851322|16198993|15527785|1.04323|4011|12|5
Romance_1|0|21518242|9890585|9890401|1.00002|22|0|0
SalariesFrance_1|0|48707783|9310155|9170922|1.01518|993|2|1
TableroSistemaPenal_1|0|23289522|802109|719851|1.11427|366|4|2
Taxpayer_1|0|16195222|4592886|4593558|0.999854|237|0|0
Telco_1|0|92222061|23897338|23619822|1.01175|17601|36|5
TrainsUK1_2|0|22067864|3440367|3385943|1.01607|227|2|1
TrainsUK2_1|0|18144855|3140981|2916731|1.07688|296|6|3
Uberlandia_1|0|61320125|5959002|5530965|1.07739|3124|176|15
USCensus_1|0|137735464|8738400|8395009|1.0409|90774|13|7
Wins_1|0|88869327|14701699|14428234|1.01895|26335|6|3
YaleLanguages_1|0|18012366|1520217|1297181|1.17194|424|7|4
