Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Bimbo_1|0|Equality|3|11|4_Demanda_uni_equil|12_Venta_uni_hoy|integer|integer|262144|262144|39892|10997|6.57134|23.8378|39868|39936|6.5753|6.5641|1.5682|Equality|3|11|6.575298|6.564103|6.575298|23.889912|0|28963|PFOR|-1|176|176|1369|1369|10973|10976|0.997813|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CityMaxCapita_1|0|Equality|17|21|18_Long Domain|22_Short Domain|string|string|383796|372891|90922|53422|4.22116|6.9801|90898|84607|4.22227|4.40733|1.21588|Equality|17|21|4.641440|4.880900|4.641440|8.253182|0|31216|DICT|-1|1086|969|2232|2232|45181|45192|0.999380|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|55959|55959|-1|-1|-1|-1|-1|8209|
CityMaxCapita_1|0|Equality|22|1|23_State_Country|2_City_State|string|string|1142397|806374|209215|53|5.4604|15214.6|209191|161893|5.46102|4.98091|1.77325|Equality|22|1|5.461363|4.981892|5.461363|38398.571429|0|161839|DICT|-1|5751|5292|0|0|21|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2|23966|-1|-1|-1|-1|-1|32|
CommonGovernment_1|0|Equality|7|13|8_award_type_code|14_cd_contactiontype|string|string|327684|327684|14252|21|22.9921|15604|14228|14228|23.0309|23.0309|1.99369|Equality|7|13|23.030925|23.030925|23.030925|15603.809524|0|14206|DICT|-1|5|5|0|0|21|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Equality|9|10|10_baseandalloptionsvalue|11_baseandexercisedoptionsvalue|double|double|524288|524288|286429|65805|1.83043|7.9673|286405|294649|1.83058|1.77936|1.64962|Equality|9|10|1.830583|1.779365|1.830583|7.970204|0|228868|PSEUDODECIMAL|-1|33920|35778|5480|5480|65781|65784|0.999635|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Equality|20|21|21_count_fetched|22_count_total|integer|integer|262144|262144|60294|21|4.34776|12483|60270|60270|4.34949|4.34949|1.99851|Equality|20|21|4.349494|4.349494|4.349494|12483.047619|0|60249|RLE|-1|536|536|0|0|21|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Equality|41|43|42_prod_or_serv_code|44_psc_code|string|string|524292|524292|83567|21|6.27391|24966.3|83543|83543|6.27571|6.27571|1.99892|Equality|41|43|6.275714|6.275714|6.275714|24966.095238|0|83521|DICT|-1|774|774|0|0|21|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
Corporations_1|0|Equality|6|25|7_country|26_twitter_account|string|string|384058|300923|9781|49264|39.2657|6.10838|9757|179346|39.3623|1.67789|3.20269|Equality|6|25|39.459365|1.681153|39.459365|6.155777|0|130113|DICT|-1|1|1258|1261|1261|48884|48895|0.999427|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|4581|64275|-1|-1|-1|-1|-1|348|
Corporations_1|0|Equality|12|22|13_industries|23_short_descriptiion|string|string|262526|263091|2381|1112|110.259|236.593|2357|263123|111.381|0.999878|76.0034|Equality|12|22|112.527218|0.999985|112.527218|250.082700|0|262042|-1|-1|13|11|11|11|1052|1063|0.973659|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|65501|65525|-1|-1|-1|-1|-1|28|
Corporations_1|0|Equality|12|2|13_industries|3_angelco_account|string|string|262526|263249|2381|1482|110.259|177.631|2357|263269|111.381|0.999924|68.7616|Equality|12|2|112.527218|0.999985|112.527218|183.573919|0|261818|DICT|-1|13|39|39|39|1434|1445|0.980623|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|65501|65497|-1|-1|-1|-1|-1|16|
