Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1170865|0.999794|2|0|0
Bimbo_1|0|3670016|319324|287278|1.11155|62|1|1
CityMaxCapita_1|0|26049426|11018728|11019472|0.999932|2|0|0
CMSprovider_1|0|16717728|3729276|3729900|0.999833|0|0|0
CommonGovernment_1|0|62829650|8193179|8152735|1.00496|22|2|1
Corporations_1|0|11901857|5105751|5099970|1.00113|8|1|1
Eixo_1|0|60077487|5892367|5901479|0.998456|58|3|2
Euro2016_1|0|11418716|5779460|5779701|0.999958|0|0|0
Food_1|0|2758131|515805|515949|0.999721|2|0|0
Generico_1|0|42738694|2805958|2806969|0.99964|118|0|0
HashTags_1|0|92542033|34753667|34756050|0.999931|1260|0|0
Hatred_1|0|26027696|11533096|11533840|0.999935|6|0|0
IGlocations1_1|0|6321918|1779851|1799169|0.989263|62|10|4
Medicare1_1|0|12973420|3996314|3998463|0.999463|8|1|1
MedPayment1_1|0|16768400|4681724|4682397|0.999856|0|0|0
MLB_1|0|18994088|2380651|2284188|1.04223|556|26|4
Motos_1|0|42974217|2829428|2830463|0.999634|118|0|0
MulheresMil_1|0|62416953|5964864|5971310|0.998921|58|1|1
NYC_1|0|36490617|3139541|3140697|0.999632|2|0|0
PanCreactomy1_1|0|18360922|4037727|4038425|0.999827|0|0|0
Physicians_1|0|16768116|4686462|4687139|0.999856|0|0|0
Provider_1|0|16202756|4588180|4588855|0.999853|0|0|0
RealEstate1_1|0|17820728|4838606|4839231|0.999871|12|0|0
Redfin1_1|0|22150976|9242876|9243886|0.999891|2|0|0
Rentabilidad_1|0|70851322|16198993|16202338|0.999794|146|0|0
Romance_1|0|21518242|9890585|9890401|1.00002|0|0|0
SalariesFrance_1|0|48707783|9310155|9311526|0.999853|14|0|0
TableroSistemaPenal_1|0|23289522|802109|802758|0.999192|12|0|0
Taxpayer_1|0|16195222|4592886|4593558|0.999854|0|0|0
Telco_1|0|92222061|23897338|23901572|0.999823|0|0|0
TrainsUK1_2|0|22067864|3440367|3441019|0.999811|12|0|0
TrainsUK2_1|0|18144855|3140981|3138165|1.0009|96|2|1
Uberlandia_1|0|61320125|5959002|5934795|1.00408|78|3|2
USCensus_1|0|137735464|8738400|8754341|0.998179|75404|160|23
Wins_1|0|88869327|14701699|14619644|1.00561|22332|79|26
YaleLanguages_1|0|18012366|1520217|1483261|1.02492|22|3|2
