Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1170865|0.999794|10|2|0|0|0
Bimbo_1|3670016|319324|287370|1.11119|12|62|1|1|1
CityMaxCapita_1|26049426|11018728|11019472|0.999932|31|2|0|0|0
CMSprovider_1|16717728|3729276|3729900|0.999833|26|0|0|0|0
CommonGovernment_1|62829650|8193179|8152735|1.00496|56|22|2|1|1
Corporations_1|11901857|5105751|5099782|1.00117|27|8|1|1|1
Eixo_1|60077487|5892367|5901612|0.998433|71|58|1|1|1
Euro2016_1|11418716|5779460|5779701|0.999958|10|0|0|0|0
Food_1|2758131|515805|515949|0.999721|6|2|0|0|0
Generico_1|42738694|2805958|2806969|0.99964|42|118|0|0|0
HashTags_1|92542033|34753667|34756050|0.999931|99|1260|0|0|0
Hatred_1|26027696|11533096|11533840|0.999935|31|6|0|0|0
IGlocations1_1|6321918|1779851|1762325|1.00994|18|62|4|2|2
Medicare1_1|12973420|3996314|3996939|0.999844|26|8|0|0|0
MedPayment1_1|16768400|4681724|4682397|0.999856|28|0|0|0|0
MLB_1|18994088|2380651|2285360|1.0417|48|556|13|4|1.33333
Motos_1|42974217|2829428|2830463|0.999634|43|118|0|0|0
MulheresMil_1|62416953|5964864|5969544|0.999216|72|58|1|1|1
NYC_1|36490617|3139541|3140697|0.999632|48|2|0|0|0
PanCreactomy1_1|18360922|4037727|4038425|0.999827|29|0|0|0|0
Physicians_1|16768116|4686462|4687139|0.999856|28|0|0|0|0
Provider_1|16202756|4588180|4588855|0.999853|28|0|0|0|0
RealEstate1_1|17820728|4838606|4839231|0.999871|26|12|0|0|0
Redfin1_1|22150976|9242876|9243886|0.999891|42|2|0|0|0
Rentabilidad_1|70851322|16198971|16197800|1.00007|139|146|1|1|1
Romance_1|21518242|9890585|9890711|0.999987|11|0|0|0|0
SalariesFrance_1|48707783|9310155|9311526|0.999853|57|14|0|0|0
TableroSistemaPenal_1|23289522|802109|802758|0.999192|27|12|0|0|0
Taxpayer_1|16195222|4592886|4593558|0.999854|28|0|0|0|0
Telco_1|92222061|23897338|23901572|0.999823|176|0|0|0|0
TrainsUK1_2|22067864|3440367|3441019|0.999811|27|12|0|0|0
TrainsUK2_1|18144855|3140981|3138177|1.00089|29|96|2|1|1
Uberlandia_1|61320125|5959002|5934679|1.0041|72|78|3|2|2
USCensus_1|137735464|8738400|8568611|1.01982|518|75404|80|13|1
Wins_1|88869327|14701699|14585352|1.00798|254|22332|50|22|1.57143
YaleLanguages_1|18012366|1520217|1483257|1.02492|28|22|3|2|1
Average compression_ratio_improvement: 1.00611
Total ECRs computed: 100474
