Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Bimbo_1|0|Numerical|3|11|4_Demanda_uni_equil|12_Venta_uni_hoy|integer|integer|262144|262144|39892|7716|6.57134|33.9741|39868|39936|6.5753|6.5641|1.67627|Numerical|3|11|6.575298|6.564103|6.575298|87.614973|0|36944|PFOR|BP|176|176|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.999878|0|2000|0|2000|0|0|2992|7692|-1|-1|-1|-1|
CommonGovernment_1|0|Numerical|20|21|21_count_fetched|22_count_total|integer|integer|262144|262144|60294|18504|4.34776|14.1669|60270|60270|4.34949|4.34949|1.52973|Numerical|20|21|4.349494|4.349494|4.349494|14.194499|0|41802|RLE|BP|536|536|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|1.000000|0|47374150|0|47374150|0|0|18468|18480|-1|-1|-1|-1|
Corporations_1|0|Numerical|0|11|1_Id1|12_id|integer|integer|262144|262144|155968|166088|1.68076|1.57834|155944|172676|1.68101|1.51813|1.02038|Numerical|0|11|1.681014|1.518126|1.681014|1.579790|0|6740|PFOR|BP|65536|65536|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.928139|135|903485|414171|3724739|0|0|165936|166064|-1|-1|-1|-1|
Eixo_1|0|Numerical|9|6|12_ch_min_financiavel|9_ch_da_oferta|integer|integer|262144|262144|34165|65844|7.67288|3.98129|34141|58281|7.67828|4.49793|0.924137|Numerical|9|6|7.725341|4.497932|7.725341|4.916798|0|4964|DICT|BP|10|108|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.744938|0|1200|160|1870|1396|0|53316|65820|-1|-1|-1|-1|
IGlocations1_1|0|Numerical|0|5|1_CENSUS2010POP|6_ESTIMATESBASE2010|integer|integer|262144|262144|122763|109164|2.13537|2.40138|122739|122479|2.13578|2.14032|1.05731|Numerical|0|5|2.140580|2.140300|2.140580|3.097311|0|37843|-1|BP|13250|13267|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.999996|0|37253956|0|37254503|129|0|84636|109140|-1|-1|-1|-1|
IGlocations1_1|0|Numerical|0|9|1_CENSUS2010POP|10_POPESTIMATE2010|integer|integer|262144|262144|122763|117888|2.13537|2.22367|122739|122484|2.13578|2.14023|1.019|Numerical|0|9|2.140580|2.140231|2.140580|2.242003|0|5559|PFOR|BP|13250|13270|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.999995|0|37253956|0|37336011|129|0|116924|117864|-1|-1|-1|-1|
MLB_1|0|Numerical|0|20|1_AB|21_PA|integer|integer|262144|262144|59072|30212|4.4377|8.67682|59047|59260|4.43958|4.42362|1.32506|Numerical|0|20|4.439507|4.423625|4.439507|9.640482|0|32068|-1|BP|230|237|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.999509|0|246|1|247|0|0|27192|30188|-1|-1|-1|-1|
MLB_1|0|Numerical|0|5|1_AB|6_BIP|integer|integer|262144|262144|59072|41164|4.4377|6.36828|59047|59088|4.43958|4.4365|1.17857|Numerical|0|5|4.439507|4.436501|4.439507|7.473600|0|24012|PFOR|BP|230|232|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.998829|0|246|0|244|0|0|35076|41140|-1|-1|-1|-1|
MLB_1|0|Numerical|13|29|14_H|30_TB|integer|integer|262144|262144|46880|50432|5.59181|5.19797|46856|51308|5.59467|5.10922|1.00876|Numerical|13|29|5.594673|5.109223|5.594673|5.985023|0|7508|PFOR|BP|97|175|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.970435|0|102|0|194|0|0|43800|50408|-1|-1|-1|-1|
MLB_1|0|Numerical|38|43|39_pwRC.|44_wRC.|integer|integer|262144|262144|85908|36883|3.05145|7.10745|85884|85384|3.0523|3.07018|1.39479|Numerical|38|43|3.080821|3.099032|3.080821|7.416091|0|49241|DICT|BP|970|906|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.999668|-139|1420|-130|1418|389|389|35348|36859|-1|-1|-1|-1|
