Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Arade_1|0|Dict_1to1|1|0|2_F2|1_F1|string|string|557506|458756|58459|11017|9.5367|41.6407|56892|18022|9.79937|25.4553|1.07827|Dict_1to1|1|0|9.799202|25.455332|9.799202|39.643623|0|6450|BP|-1|74|5|1402|1325|11216|10624|0.997741|308|308|0.961039|36|55|0.709091|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
Bimbo_1|0|Equality|3|11|4_Demanda_uni_equil|12_Venta_uni_hoy|integer|integer|262144|262144|39892|10997|6.57134|23.8378|39868|39936|6.5753|6.5641|1.5682|Equality|3|11|6.575298|6.564103|6.575298|16.987013|0|24503|PFOR|-1|176|176|1402|1369|77|10976|0.997813|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
Bimbo_1|0|DFOR|10|7|11_Venta_hoy|8_Producto_ID|double|integer|524288|262144|103937|139636|5.04429|1.87734|104724|68525|5.00638|3.82552|0.711282|DFOR|10|7|5.006331|3.825524|5.006331|7.937744|0|35500|BP|BP|2113|242|-1|-1|-1|-1|-1.000000|8453|8464|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|72|49492|0|0|24572|131156|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|9|25|10_Following|26_Tweets|integer|integer|262144|262144|113169|150320|2.31639|1.74391|93092|133436|2.81597|1.96457|0.859725|DFOR|9|25|2.815967|1.964567|2.400388|6.483417|0|76887|-1|BP|3875|29690|-1|-1|-1|-1|-1.000000|15501|15512|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|727620|0|0|24932|134792|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|9|6|10_Following|7_Favorites|integer|integer|262144|262144|113169|140484|2.31639|1.86601|93092|121796|2.81597|2.15232|0.847173|DFOR|9|6|2.815967|2.152320|2.400388|6.511115|0|65419|-1|BP|3875|17585|-1|-1|-1|-1|-1.000000|15501|15512|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|614530|0|0|24760|124956|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|9|8|10_Following|9_Followers|integer|integer|262144|262144|113169|111224|2.31639|2.3569|93092|97136|2.81597|2.69873|0.847745|DFOR|9|8|2.815967|2.698732|2.400388|6.629676|0|41479|BP|BP|3875|5278|-1|-1|-1|-1|-1.000000|15501|15512|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|1183506|0|0|24040|95696|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_1toN|14|26|15_Language|27_Twitter Client|string|string|393571|1410658|466055|23896|0.844473|59.0332|19216|50557|20.4814|27.9023|0.142408|Dict_1toN|14|26|20.481422|27.902328|20.481422|54.966412|0|24893|BP|-1|21|46|-1|-1|-1|-1|-1.000000|810|1690|0.990533|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|24748|22088|88|100|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|14|7|15_Language|8_First Link in Tweet|string|string|393571|721351|466055|86865|0.844473|8.30428|19216|413279|20.4814|1.74543|0.782202|Dict_Sharing|14|7|20.481422|1.780806|1.203853|8.727991|-307710|322422|-1|-1|21|8873|-1|-1|-1|-1|-1.000000|307855|462970|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|55959|82648|86853|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_1toN|16|13|17_Listed Number|14_LPF|integer|double|262144|524288|55630|216534|4.71228|2.42127|42969|146265|6.10077|3.58451|0.695294|Dict_1toN|16|13|6.102048|3.584508|5.830475|5.750916|-2001|55099|BP|-1|613|6538|-1|-1|-1|-1|-1.000000|63504|141212|0.999915|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|0|25188|72836|2456|2468|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|20|28|21_Region|29_User Loc|string|string|776748|795139|278443|124373|2.78961|6.39318|15797|392334|49.1706|2.02669|1.01319|Dict_Sharing|20|28|49.295424|2.070001|3.136640|9.622652|-231880|301493|-1|-1|5|14506|-1|-1|-1|-1|-1.000000|231942|268026|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|25096|82632|124361|-1|-1|-1|-1|
