Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1165378|1.0045|10|52|1|1|1
Bimbo_1|3670016|319324|290651|1.09865|12|592|35|2|1
CityMaxCapita_1|26049426|11018728|10741510|1.02581|31|1353|231|9|1
CMSprovider_1|16717728|3729276|3445743|1.08229|26|1163|219|10|1
CommonGovernment_1|62829650|8193179|7201906|1.13764|56|6987|589|19|1
Corporations_1|11901857|5106187|3652990|1.39781|27|918|328|8|1
Eixo_1|60077487|5892367|5010077|1.1761|71|15388|2284|29|1
Euro2016_1|11418716|5779460|5246402|1.1016|10|119|44|2|1
Food_1|2758131|515805|512162|1.00711|6|70|12|2|1
Generico_1|42738694|2805958|1951124|1.43812|42|5804|577|14|1
HashTags_1|92542033|34753667|24276453|1.43158|99|20015|1370|24|1
Hatred_1|26027696|11533096|11357683|1.01544|31|1178|172|8|1
IGlocations1_1|6321918|1779851|1782777|0.998359|18|660|91|7|1
Medicare1_1|12973420|3996314|3444407|1.16023|26|894|178|8|1
MedPayment1_1|16768400|4681724|4551062|1.02871|28|1191|130|8|1
MLB_1|18994088|2380651|2237951|1.06376|48|8256|1132|20|1
Motos_1|42974217|2829428|1963570|1.44096|43|6090|586|15|1
MulheresMil_1|62416953|5964864|5081844|1.17376|72|15881|2307|30|1
NYC_1|36490617|3139541|1804794|1.73956|48|5382|962|18|1
PanCreactomy1_1|18360922|4037727|3766904|1.0719|29|1555|304|10|1
Physicians_1|16768116|4686462|4561463|1.0274|28|1191|133|7|1
Provider_1|16202756|4588180|4516336|1.01591|28|1221|147|9|1
RealEstate1_1|17820728|4838606|4546673|1.06421|26|1330|181|6|1
Redfin1_1|22150976|9242876|9039598|1.02249|42|1398|129|9|1
Rentabilidad_1|70851322|16198971|15190389|1.0664|139|21693|1052|19|1
Romance_1|21518242|9890137|9866319|1.00241|11|35|2|1|1
SalariesFrance_1|48707783|9310155|8659615|1.07512|57|3588|358|14|1
TableroSistemaPenal_1|23289522|802109|464222|1.72786|27|2252|138|8|1
Taxpayer_1|16195222|4592886|4534655|1.01284|28|1222|146|8|1
Telco_1|92222061|23897338|22694563|1.053|176|54777|13708|70|1
TrainsUK1_2|22067864|3440367|3042237|1.13087|27|1629|198|10|1
TrainsUK2_1|18144855|3140981|2632258|1.19326|29|2406|411|11|1
Uberlandia_1|61320125|5959002|5110006|1.16614|72|15592|2330|29|1
USCensus_1|137735464|8738400|8203140|1.06525|518|533880|31482|70|1
Wins_1|88869327|14701699|14081568|1.04404|254|174072|14478|93|1
YaleLanguages_1|18012366|1520217|979852|1.55148|28|2358|366|13|1
Average compression_ratio_improvement: 1.16146
Total ECRs computed: 912192
