Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Arade_1|0|Dict_1to1|1|0|2_F2|1_F1|string|string|557506|458756|58459|11017|9.5367|41.6407|56892|18022|9.79937|25.4553|1.07827|Dict_1to1|1|0|9.799202|25.455332|9.799202|1288.640449|0|17666|BP|-1|74|5|0|1325|0|10624|0.997741|308|308|0.961039|36|55|0.709091|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
Bimbo_1|0|Dict_1toN|6|7|7_Number of Records|8_Producto_ID|integer|integer|262144|262144|2101|60266|124.771|4.34978|4|68525|65536|3.82552|1.0988|Dict_1toN|6|7|65536.000000|3.825524|126.700822|5.030203|-2065|16411|BP|-1|1|242|-1|-1|-1|-1|-1.000000|968|980|0.987755|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|51120|59248|8|20|-1|-1|
Bimbo_1|0|Dict_1toN|11|10|12_Venta_uni_hoy|11_Venta_hoy|integer|double|262144|524288|50093|73202|5.23315|7.16221|39936|104724|6.5641|5.00638|1.17328|Dict_1toN|11|10|6.564103|5.006331|5.722044|7.746343|-5877|37042|BP|-1|176|2113|-1|-1|-1|-1|-1.000000|24032|19708|0.999391|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|42924|52756|708|720|-1|-1|
Bimbo_1|0|Equality|11|3|12_Venta_uni_hoy|4_Demanda_uni_equil|integer|integer|262144|262144|50093|10997|5.23315|23.8378|39936|39868|6.5641|6.5753|1.30633|Equality|11|3|6.564103|6.575298|6.564103|19.849624|0|26661|-1|-1|176|176|1390|1369|133|10976|0.997813|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CityMaxCapita_1|0|Dict_1toN|0|2|1_City_Admin|3_City|string|string|545836|660352|7663|128888|71.2301|5.12346|15845|135033|34.4485|4.8903|1.10492|Dict_1toN|0|2|34.476756|4.892040|34.476756|7.347367|0|45109|BP|-1|2|4536|-1|-1|-1|-1|-1.000000|63318|63338|0.999747|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2|21554|26528|65508|12|24|-1|-1|
CityMaxCapita_1|0|Dict_1toN|17|21|18_Long Domain|22_Short Domain|string|string|383796|372891|73156|32370|5.24627|11.5196|90898|84607|4.22227|4.40733|1.66314|Dict_1toN|17|21|4.641440|4.880900|4.641440|11.367935|0|43596|BP|-1|1086|969|-1|-1|-1|-1|-1.000000|18276|17711|0.999097|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|55959|55959|10160|10281|4348|4360|-1|-1|
CityMaxCapita_1|0|Dict_1toN|19|13|20_Number of Records|14_LPF|integer|double|262144|524288|2101|147714|124.771|3.54935|4|146265|65536|3.58451|0.976331|Dict_1toN|19|13|65536.000000|3.584508|126.700822|4.095296|-2065|18243|BP|-1|1|6538|-1|-1|-1|-1|-1.000000|52304|52316|0.999771|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|75692|95360|8|20|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|23|28|24_State|29_User Loc|string|string|388154|795139|301664|124373|1.28671|6.39318|43423|392334|8.9389|2.02669|1.02281|Dict_Sharing|23|28|8.947145|2.070001|1.552995|8.635306|-206556|292045|-1|-1|50|14506|-1|-1|-1|-1|-1.000000|206860|268039|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|25096|92080|124361|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_1toN|23|22|24_State|23_State_Country|string|string|388154|1142397|301664|152706|1.28671|7.48102|43423|209191|8.9389|5.46102|0.555965|Dict_1toN|23|22|8.947145|5.461363|8.947145|7.756160|0|61889|BP|-1|50|5751|-1|-1|-1|-1|-1.000000|104143|104163|0.999846|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|2|42924|48309|204|216|-1|-1|
CMSprovider_1|0|Dict_1to1|3|8|4_BENE_DAY_SRVC_CNT|9_LINE_SRVC_CNT|integer|double|262144|524288|81306|75000|3.22417|6.99051|68805|81706|3.80996|6.41676|0.962925|Dict_1to1|3|8|3.810454|6.417469|3.457771|16.161277|-7017|49256|BP|-1|1210|1263|2184|7495|17472|59984|0.999600|4852|4861|0.995680|10105|10116|0.998814|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9|
