Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1165378|1.0045|10|52|1|1|1
Bimbo_1|3670016|319324|271263|1.17717|12|592|17|3|1.5
CityMaxCapita_1|26049426|11018728|10681304|1.03159|31|1353|138|7|1.4
CMSprovider_1|16717728|3729276|3423156|1.08943|26|1163|172|12|1.83333
CommonGovernment_1|62829650|8193179|6978756|1.17402|56|6987|616|28|2.25
Corporations_1|11901857|5105751|3326815|1.53473|27|918|230|9|1.5
Eixo_1|60077487|5892367|4662446|1.26379|71|15388|2079|37|3.27273
Euro2016_1|11418716|5779460|5244416|1.10202|10|119|44|2|2
Food_1|2758131|515805|514149|1.00322|6|70|2|2|1
Generico_1|42738694|2805958|1848755|1.51776|42|5804|402|19|1.9
HashTags_1|92542033|34753667|23946618|1.4513|99|20015|889|26|1.27778
Hatred_1|26027696|11533096|11343378|1.01673|31|1178|97|8|1.66667
IGlocations1_1|6321918|1779851|1766945|1.0073|18|660|6|2|1
Medicare1_1|12973420|3996314|3263007|1.22473|26|894|61|6|1.66667
MedPayment1_1|16768400|4681724|4551765|1.02855|28|1191|106|11|1
MLB_1|18994088|2380651|2238218|1.06364|48|8256|134|19|1.25
Motos_1|42974217|2829428|1920014|1.47365|43|6090|482|20|2.375
MulheresMil_1|62416953|5964864|4644978|1.28415|72|15881|1714|36|3.18182
NYC_1|36490617|3139541|1870430|1.67851|48|5382|913|24|3
PanCreactomy1_1|18360922|4037727|3722318|1.08473|29|1555|220|12|1.66667
Physicians_1|16768116|4686462|4563785|1.02688|28|1191|121|10|1
Provider_1|16202756|4588180|4490443|1.02177|28|1221|92|11|1.28571
RealEstate1_1|17820728|4838606|4519954|1.0705|26|1330|169|9|2
Redfin1_1|22150976|9242876|9011962|1.02562|42|1398|61|11|1.5
Rentabilidad_1|70851322|16198993|15054500|1.07602|139|21693|1014|27|1.92308
Romance_1|21518242|9890585|9866289|1.00246|11|35|3|2|2
SalariesFrance_1|48707783|9310155|8462124|1.10021|57|3588|226|14|1.625
TableroSistemaPenal_1|23289522|802109|333382|2.40598|27|2252|142|13|2.4
Taxpayer_1|16195222|4592886|4530538|1.01376|28|1222|89|11|1.42857
Telco_1|92222061|23897338|22500280|1.06209|176|54777|5638|62|1.14286
TrainsUK1_2|22067864|3440367|2928764|1.17468|27|1629|96|11|1.83333
TrainsUK2_1|18144855|3140981|2473057|1.27008|29|2406|262|13|1.625
Uberlandia_1|61320125|5959002|4537301|1.31334|72|15592|2180|41|4.33333
USCensus_1|137735464|8738400|8176181|1.06876|518|533880|2331|38|1.47059
Wins_1|88869327|14701698|13910698|1.05686|254|174072|1158|46|1.38462
YaleLanguages_1|18012366|1520217|815218|1.8648|28|2358|215|16|2
Average compression_ratio_improvement: 1.2157
Total ECRs computed: 912192
