Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1165378|1.0045|52|1|1
Bimbo_1|0|3670016|319324|287862|1.1093|592|33|2
CityMaxCapita_1|0|26049426|11018728|10674240|1.03227|1353|238|11
CMSprovider_1|0|16717728|3729276|3416957|1.0914|1163|216|11
CommonGovernment_1|0|62829650|8193179|6981360|1.17358|6987|591|27
Corporations_1|0|11901857|5105751|3120109|1.6364|918|348|10
Eixo_1|0|60077487|5892367|4665205|1.26305|15388|2240|41
Euro2016_1|0|11418716|5779460|5244416|1.10202|119|44|2
Food_1|0|2758131|515805|515949|0.999721|70|11|2
Generico_1|0|42738694|2805958|1865962|1.50376|5804|564|17
HashTags_1|0|92542033|34753667|23944735|1.45141|20015|1371|25
Hatred_1|0|26027696|11533096|11349725|1.01616|1178|175|11
IGlocations1_1|0|6321918|1779851|1780285|0.999756|660|79|9
Medicare1_1|0|12973420|3996314|3414148|1.17052|894|176|11
MedPayment1_1|0|16768400|4681724|4539728|1.03128|1191|134|10
MLB_1|0|18994088|2380651|2206685|1.07884|8256|1186|24
Motos_1|0|42974217|2829428|1870294|1.51283|6090|588|19
MulheresMil_1|0|62416953|5964864|4544658|1.3125|15881|2182|43
NYC_1|0|36490617|3139541|1644398|1.90923|5382|927|25
PanCreactomy1_1|0|18360922|4037727|3713904|1.08719|1555|307|12
Physicians_1|0|16768116|4686462|4549923|1.03001|1191|134|9
Provider_1|0|16202756|4588180|4515638|1.01606|1221|148|10
RealEstate1_1|0|17820728|4838606|4483238|1.07927|1330|177|8
Redfin1_1|0|22150976|9242876|8955062|1.03214|1398|127|12
Rentabilidad_1|0|70851322|16198993|14983002|1.08116|21693|1027|25
Romance_1|0|21518242|9890137|9865871|1.00246|35|2|1
SalariesFrance_1|0|48707783|9310155|8451934|1.10154|3588|356|18
TableroSistemaPenal_1|0|23289522|802109|269558|2.97565|2252|144|13
Taxpayer_1|0|16195222|4592886|4524925|1.01502|1222|150|10
Telco_1|0|92222061|23897338|22554571|1.05953|54777|13357|74
TrainsUK1_2|0|22067864|3440367|2900815|1.186|1629|198|12
TrainsUK2_1|0|18144855|3140981|2515634|1.24858|2406|398|14
Uberlandia_1|0|61320125|5959002|4586323|1.2993|15592|2415|42
USCensus_1|0|137735464|8738400|8107197|1.07786|533880|31316|81
Wins_1|0|88869327|14701698|13995733|1.05044|174072|14530|152
YaleLanguages_1|0|18012366|1520217|743663|2.04423|2358|366|19
