Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Arade_1|0|1_F1|458756|18022|11017|1.63584|25.4553|41.6407|string|target|Dict_1to1|1|0|9.799202|25.455332|9.799202|39.698512|0|6466|BP|-1|74|5|1400|1325|11200|10624|0.997741|308|308|0.961039|36|55|0.709091|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0||1|0
Arade_1|0|2_F2|557506|56892|58459|0.973195|9.79937|9.5367|string|source|Dict_1to1|1|0|9.799202|25.455332|9.799202|39.698512|0|6466|BP|-1|74|5|1400|1325|11200|10624|0.997741|308|308|0.961039|36|55|0.709091|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0||1|0
Arade_1|0|4_F4|524288|276517|276541|0.999913|1.89604|1.89588|double|None|None||||||||||||||||||||||||||||||||||||
Arade_1|0|5_F5|524288|278429|278453|0.999914|1.88302|1.88286|double|None|None||||||||||||||||||||||||||||||||||||
Arade_1|0|6_F6|262148|4|28|0.142857|65537|9362.43|string|None|None||||||||||||||||||||||||||||||||||||
Arade_1|0|7_F7|262148|4|28|0.142857|65537|9362.43|string|None|None||||||||||||||||||||||||||||||||||||
Arade_1|0|8_F8|524288|257899|257923|0.999907|2.03292|2.03273|double|None|None||||||||||||||||||||||||||||||||||||
Arade_1|0|9_F9|524288|257689|257713|0.999907|2.03458|2.03439|double|None|None||||||||||||||||||||||||||||||||||||
Arade_1|0|10_Number of Records|262144|4|28|0.142857|65536|9362.29|integer|None|None||||||||||||||||||||||||||||||||||||
Arade_1|0|11_WNET (bin)|262144|25164|25188|0.999047|10.4174|10.4075|integer|None|None||||||||||||||||||||||||||||||||||||
Arade_1|1|1_F1|458756|18326|17104|1.07145|25.0331|26.8216|string|source|Dict_1toN|0|1|25.033068|9.435126|25.033068|10.700376|0|6845|BP|-1|5|74|-1|-1|-1|-1|-1.000000|10622|741|0.978408|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|40380|48872|24|36|-1|-1||0|1
