Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1165378|1.0045|52|1|1
Arade_1|1|4150682|1168373|1168613|0.999795|1|0|0
Arade_1|2|4153159|1170581|1170821|0.999795|1|0|0
Arade_1|3|4151741|1177901|1178141|0.999796|1|0|0
Arade_1|4|4145633|1179464|1179705|0.999796|1|0|0
Arade_1|5|4157410|1173500|1173741|0.999795|1|0|0
Arade_1|6|4154430|1180970|1181211|0.999796|1|0|0
Arade_1|7|4151274|1183485|1183725|0.999797|1|0|0
Arade_1|8|4157310|1182765|1183005|0.999797|1|0|0
Arade_1|9|4153659|1188113|1188353|0.999798|1|0|0
Bimbo_1|0|3670016|319324|290651|1.09865|592|35|2
Bimbo_1|1|3670016|331670|309859|1.07039|2|2|2
Bimbo_1|2|3670016|341256|320081|1.06616|2|2|2
Bimbo_1|3|3670016|331138|309379|1.07033|2|2|2
Bimbo_1|4|3670016|321516|300333|1.07053|2|2|2
Bimbo_1|5|3670016|332997|307579|1.08264|2|2|2
Bimbo_1|6|3670016|331892|303445|1.09375|2|2|2
Bimbo_1|7|3670016|357704|328211|1.08986|2|2|2
Bimbo_1|8|3670016|388772|369413|1.0524|2|2|2
Bimbo_1|9|3670016|332246|308203|1.07801|2|2|2
CityMaxCapita_1|0|26049426|11018728|10675855|1.03212|1353|231|10
CityMaxCapita_1|1|27067002|11438168|11076342|1.03267|9|9|9
CityMaxCapita_1|2|27060841|11454267|11192725|1.02337|9|9|9
CityMaxCapita_1|3|28462956|12121942|11705185|1.0356|9|9|9
CityMaxCapita_1|4|27908894|11654777|11294301|1.03192|9|9|9
CityMaxCapita_1|5|27195635|11545615|11344048|1.01777|9|9|9
CityMaxCapita_1|6|26264537|11215077|10995784|1.01994|9|9|9
CityMaxCapita_1|7|26353027|10677507|10323483|1.03429|10|9|9
CityMaxCapita_1|8|28312959|9716866|9372388|1.03675|9|9|9
CityMaxCapita_1|9|28458565|11926241|11524888|1.03482|9|9|9
CMSprovider_1|0|16717728|3729276|3424904|1.08887|1163|219|10
CMSprovider_1|1|16775333|3594186|3368788|1.06691|10|8|8
CMSprovider_1|2|16682434|3448463|3243791|1.0631|10|8|8
CMSprovider_1|3|16760280|3425605|3214938|1.06553|10|8|8
CMSprovider_1|4|17019230|3409355|3207367|1.06298|10|8|8
CMSprovider_1|5|16825975|3380781|3178206|1.06374|10|8|8
CMSprovider_1|6|16744951|3427695|3224078|1.06316|10|8|8
CMSprovider_1|7|16766331|3494409|3255800|1.07329|10|8|8
CMSprovider_1|8|16686642|3354593|3135033|1.07003|10|8|8
CMSprovider_1|9|16690382|3395755|3184378|1.06638|10|8|8
CommonGovernment_1|0|62829650|8193179|6759976|1.21201|6987|589|28
CommonGovernment_1|1|63006904|5705024|4196148|1.35959|28|24|24
CommonGovernment_1|2|63268388|4670919|3250207|1.43711|28|22|22
CommonGovernment_1|3|62163267|7259610|5888805|1.23278|28|27|27
CommonGovernment_1|4|61234442|8011095|6549839|1.2231|28|28|28
CommonGovernment_1|5|61141337|6385789|4951911|1.28956|28|23|23
CommonGovernment_1|6|60851868|5640476|4249373|1.32737|28|21|21
CommonGovernment_1|7|60195624|7985266|6485927|1.23117|28|27|27
CommonGovernment_1|8|59798203|7708553|6459279|1.19341|28|25|25
CommonGovernment_1|9|61314225|5766359|4250037|1.35678|28|24|24
Corporations_1|0|11901857|5105751|3378935|1.51105|918|328|9
Corporations_1|1|15768558|5586788|4873416|1.14638|8|4|4
Corporations_1|2|18682541|6869335|6730851|1.02057|6|2|2
Corporations_1|3|21923153|8291286|8157076|1.01645|7|1|1
Corporations_1|4|14478748|4474293|4100596|1.09113|9|5|5
Corporations_1|5|15596116|3741140|3710555|1.00824|8|1|1
Corporations_1|6|21197831|6673676|6643069|1.00461|7|1|1
Corporations_1|7|24760392|9029141|8998526|1.0034|6|1|1
Corporations_1|8|23505700|8136485|8072379|1.00794|7|2|2
Corporations_1|9|23626320|8413184|8273172|1.01692|6|2|2
Eixo_1|0|60077487|5892367|4582437|1.28586|15388|2284|41
Eixo_1|1|60252453|5676009|4362260|1.30116|41|41|41
Eixo_1|2|60293100|5798579|4516058|1.28399|41|41|41
Eixo_1|3|60206637|5347475|4265520|1.25365|41|25|25
Eixo_1|4|59489519|5659859|4362455|1.2974|41|40|40
Eixo_1|5|58894950|5457097|4127286|1.3222|41|39|39
Eixo_1|6|58732583|4907693|3866016|1.26944|41|26|26
Eixo_1|7|59123796|5567744|4303944|1.29364|41|38|38
Eixo_1|8|59590501|4935259|3735663|1.32112|41|38|38
Eixo_1|9|59175884|5358262|4073561|1.31538|41|39|39
Euro2016_1|0|11418716|5779460|5244416|1.10202|119|44|2
Euro2016_1|1|11390824|5835723|5305480|1.09994|2|2|2
Euro2016_1|2|11053732|5583354|5053369|1.10488|2|2|2
Euro2016_1|3|10642390|5362039|4826080|1.11105|2|2|2
Euro2016_1|4|9254905|4588647|4062185|1.1296|2|2|2
Euro2016_1|5|9686051|4818415|4289638|1.12327|2|2|2
Euro2016_1|6|10965392|5678228|5145462|1.10354|2|2|2
Euro2016_1|7|11193875|5823512|5290655|1.10072|2|2|2
Euro2016_1|8|11259015|5813097|5281796|1.10059|2|2|2
Euro2016_1|9|11336584|5887821|5357144|1.09906|2|2|2
Food_1|0|2758131|515805|515949|0.999721|70|12|2
Food_1|1|2723843|491779|491923|0.999707|2|2|2
Food_1|2|2762804|508727|508872|0.999715|2|2|2
Food_1|3|2867191|525097|525242|0.999724|2|2|2
Food_1|4|2944540|503026|503171|0.999712|2|2|2
Food_1|5|2959116|488805|488949|0.999705|2|2|2
Food_1|6|3114646|487114|487259|0.999702|2|2|2
Food_1|7|3082581|484247|484393|0.999699|2|1|1
Food_1|8|3218981|483883|484028|0.9997|2|2|2
Food_1|9|3268075|504128|504273|0.999712|2|1|1
Generico_1|0|42738694|2805958|1837997|1.52664|5804|577|19
Generico_1|1|42632546|2711985|1833376|1.47923|19|19|19
Generico_1|2|42853387|2840735|1906259|1.49021|19|19|19
Generico_1|3|42684339|2790454|1855779|1.50366|19|19|19
Generico_1|4|43031843|3026818|2058176|1.47063|19|18|18
Generico_1|5|42860308|2840393|1932588|1.46974|19|18|18
Generico_1|6|43072892|2815584|1882309|1.49581|19|18|18
Generico_1|7|42845195|2980319|2047285|1.45574|19|18|18
Generico_1|8|43124810|2990377|2028905|1.47389|19|18|18
Generico_1|9|43304057|2672484|1787595|1.49502|19|17|17
HashTags_1|0|92542033|34753667|23938041|1.45182|20015|1370|26
HashTags_1|1|94743496|34390987|24116345|1.42604|24|24|24
HashTags_1|2|94797455|35452680|24281009|1.4601|26|25|25
HashTags_1|3|92977331|33654939|23390251|1.43884|26|25|25
HashTags_1|4|91373958|32859157|22809340|1.4406|26|24|24
HashTags_1|5|91236219|31817750|22185476|1.43417|26|24|24
HashTags_1|6|88914853|29609039|21088729|1.40402|26|24|24
HashTags_1|7|74430403|27461878|19315949|1.42172|25|24|24
Hatred_1|0|26027696|11533096|11344481|1.01663|1178|172|10
IGlocations1_1|0|6321918|1779851|1782777|0.998359|660|91|8
IGlocations1_1|1|1629612|458880|452232|1.0147|8|8|8
Medicare1_1|0|12973420|3996314|3392323|1.17805|894|178|13
Medicare1_1|1|12964939|4102099|3542903|1.15784|6|5|5
Medicare1_1|2|13026984|4039501|3510807|1.15059|6|5|5
Medicare1_1|3|13029584|4099438|4011752|1.02186|6|4|4
Medicare1_1|4|12968132|4075080|3977463|1.02454|6|4|4
Medicare1_1|5|13085049|3972409|3442797|1.15383|6|5|5
Medicare1_1|6|13014065|4114525|4022322|1.02292|6|4|4
Medicare1_1|7|12980976|4085092|3987853|1.02438|6|4|4
Medicare1_1|8|13022901|4080765|3543477|1.15163|6|5|5
